loyverse_item_id,loyverse_name,qbo_item_id,qbo_name,usage_count,selection_reason
3844aefe-fe40-4158-9af7-45617414a738,10 LB SPECIAL: Chicken Leg Quarters,100,Chicken Leg Quarters,0,no_usage_found_fallback_lowest_id
54288d23-e64e-428b-a69d-074e08ba998c,10 LBS SPECIAL - Pork Leg Chops,41,10 LBS SPECIAL - Pork Leg Chops,16,highest_transaction_usage
1c1f6993-7d52-45e5-bcb9-8b4c4bb53202,20 LB SPECIAL: Chicken Leg Quarters,98,Chicken Leg Quarters,0,no_usage_found_fallback_lowest_id
888497f3-3c14-46ce-a506-0ac2f661a837,5 Lb Minced Meat Special,19,5 Lb Minced Meat Special,5,highest_transaction_usage
75aa8ab3-655d-403d-91e6-4f7fd17b201a,50 lbs. chicken leg special,21,50 lbs. chicken leg special,44,highest_transaction_usage
09ad9b06-f5b0-40ca-b660-756b1d5b4afc,Bacon,9,Bacon,6,highest_transaction_usage
0e9fe1ec-86f7-40e6-836c-f3a987f58fe2,Beef Stew (Bone in),78,Beef Stew (Bone in),9,highest_transaction_usage
d1c4e749-4e91-41ea-babe-ac0e92791ef9,Beef clod,26,Beef Clod,40,highest_transaction_usage
e3d3d17a-a767-4a47-9170-92262d113550,Bill fish,12,Bill fish,22,highest_transaction_usage
58a33560-7912-4f58-ad67-d48ef115734a,Boneless Chicken Breast,18,Boneless Chicken Breast,167,highest_transaction_usage
bf557271-b0f3-4964-9b22-6e17b3d4c5b8,Boneless Pig Head,47,Boneless Pig Head,0,no_usage_found_fallback_lowest_id
f41cfff1-5a87-4e63-94ab-90079d0a52c4,Boneless Salt Fish,14,Boneless salt fish,32,highest_transaction_usage
79180304-4cdb-4b35-bf06-0598953cf801,Boston Butt,15,Boston Butt,0,no_usage_found_fallback_lowest_id
58e9f055-15d4-44ba-9d0f-756f9ddcb7b6,Burger - 1/4 pounder,89,Burger - 1/4 pounder,1,highest_transaction_usage
cab25c96-8c08-49da-a547-004fac0f7a2f,Chicken Backs,17,Chicken Backs,75,highest_transaction_usage
adee3183-32a6-47d5-b034-e9c0f8eca894,Chicken Breast - bone in,87,Chicken Breast - bone in,10,highest_transaction_usage
7cea06f5-ba38-447c-be69-6906e3b2736b,Chicken Breast Quarters,20,Chicken Breast Quarters,66,highest_transaction_usage
ecd0b0b9-4fa4-4a19-a8af-0b7d48005593,Chicken Chop Mix,16,Chicken Chop Mix,82,highest_transaction_usage
c44308bd-78e1-457b-a90b-403653283428,Chicken Drumsticks,71,Chicken Drumsticks,7,highest_transaction_usage
57a7041e-30ac-4087-88f7-341488639d10,Chicken Feet,21,Chicken Feet,44,highest_transaction_usage
d33ed184-5ce6-4c66-b5aa-ec6551180565,Chicken Gizzards,22,Chicken Gizzards,38,highest_transaction_usage
1974ed2d-8f94-4d83-bd6e-6d65e2f0a5a6,Chicken Leg Quarters,4,Chicken Leg Quarters,92,highest_transaction_usage
17ee4a4b-a4ac-411d-8fb0-0339b8bd90dc,Chicken Liver,23,Chicken Liver,28,highest_transaction_usage
bd2a2214-45c0-414b-a334-e10e980cb868,Chicken Necks,24,Chicken Necks,55,highest_transaction_usage
4eb3c53f-63a5-4971-80c8-1017c5c1a41f,Chicken Quarters Mix,79,Chicken Quarters Mix,15,highest_transaction_usage
fd1243b1-a585-4529-8bee-1b7851dbbfa0,Chicken Tenders,78,Chicken Tenders,9,highest_transaction_usage
451f9f02-ec90-42af-9cfa-af91697f1457,Chicken Wings,75,Chicken Wings,11,highest_transaction_usage
bca37cb1-0137-4d35-bde4-ea66ca90c725,Chicken Wings (Imported),33,Chicken Wings (Imported),24,highest_transaction_usage
7678a2ac-ee19-49bb-bc93-fc5ec7740cd9,Chicken Wings (Rib on),69,Chicken Wings (Rib on),15,highest_transaction_usage
7476eecf-a30e-4a4c-9e07-afb00225550b,Cow Heel,10,Cow Heel,11,highest_transaction_usage
73ad9b2d-e736-4ebf-bd17-0b01b893ee71,Dog Scraps,27,Dog Scraps,34,highest_transaction_usage
48ec99a6-0d65-4fa4-8847-3784df4c105b,Eggs,29,Eggs,17,highest_transaction_usage
98e34d4d-0b90-4fbf-af2d-9db24101f409,Fresh Pigtail,30,Fresh pigtail,12,highest_transaction_usage
12b14a2a-63b6-4ac4-9f35-832f36b2ef96,Goat Stew,67,Goat Stew,110,highest_transaction_usage
72f62e1b-e635-49c2-88d2-03b57c7323fa,Ground Beef,32,Ground Beef,29,highest_transaction_usage
7c9a736c-235d-406e-b893-8b83ac58215b,Hilldale Ham,65,Hilldale Ham,5,highest_transaction_usage
9062f848-8410-43cc-879c-a56a18489d32,Lamb Leg Chops,64,Lamb Leg Chops,0,no_usage_found_fallback_lowest_id
